009.0455;31
009.1571;8
009.0803;4
009.2197;1
009.0433;1
009.0776;3
005.2066;1
012.0430;1
009.0460;1
009.1757;1
005.3149;1
003.0273;1
009.0077;3
005.1044;2
009.1112;4
005.2190;1
007.0004;146
010.0281;300
007.0035;533
021.0198;6
004.0028;38
009.0529;6
009.1356;3
005.1819;6
012.0253;2
005.1947;1
008.0077;3
005.0204;50
021.6510;20
013.0003;6
013.0032;1
013.0036;3
013.0012;1
013.0017;1
009.2247;6
009.1499;2
009.0078;2
009.1308;2
018.0262;97
020.0334;4
020.0010;4
020.0336;1
023.0032;2
009.0062;6
009.1756;1
008.0534;1
009.0090;3
002.1787;2
021.6673;2
009.1385;1
009.1931;2
009.1867;1
008.0536;4
020.1265;9
009.1195;1
009.0145;11
009.0220;2
009.1546;1
009.1376;1
009.0119;1
009.1378;1
009.1103;1
009.0223;3
009.1170;5
008.0187;3
008.9638;2
008.0034;200
009.1985;2
005.1141;14
006.1378;48
021.5708;12
005.0379;2
005.1376;4
005.1327;1
007.0003;555
005.0105;9
006.1841;7
005.0739;2
005.0381;1
005.1347;6
005.3130;1
005.1627;1
005.0116;1
021.6699;1
020.1376;2
005.0119;14
005.0951;9
006.0298;1
006.0297;2
006.0254;3
006.1842;1
005.0195;6
005.0972;60
008.0258;1
009.1773;55
006.1789;30
009.2253;1
009.1956;1
005.1738;53
009.2252;2
005.1019;27
005.0594;5
005.0258;3
005.2071;11
005.1757;1
005.2788;7
005.2789;7
024.0093;78
010.0119;277
005.2278;62
005.0967;657
005.1720;1
005.2726;2
020.0174;7
005.2249;1
009.1003;32
005.1848;1
005.1636;7
012.0539;23
009.1865;7
005.1637;3
010.0326;49
010.0744;176
005.0966;23
010.0900;6
020.0307;7
011.0352;3
004.0133;15
005.1706;10
010.0902;4
005.0376;2
010.0365;146
010.0484;202
005.0608;10
005.0272;32
005.1160;24
005.2344;15
005.0843;784
005.0896;275
005.2669;45
005.1774;28
005.1209;193
010.0258;28
010.0253;20
005.2901;72
005.0866;175
010.0223;225
010.0771;1671
010.0021;148
014.0003;9
014.0035;125
014.0055;5
010.0438;10987
003.0048;21
004.0030;4
012.0182;20
014.0041;10
014.0037;15
014.0008;15
010.0006;907
007.0006;16141
010.0129;267
010.0178;304
010.0093;2872
010.0050;992
010.0046;2461
010.0048;22180
020.1331;50
011.0056;23
012.0708;7
011.0068;18
021.6760;17
005.2269;5
019.0043;5
019.0120;8
019.0304;13
019.0183;6
020.0248;12
008.9760;1
019.0048;2
019.0360;1
019.0398;1
019.0133;1
019.0242;1
019.0198;2
020.1374;3
020.0657;3
020.0767;1
020.1375;1
009.1275;13
009.1087;1
009.0986;1
010.0035;8
010.0715;3
010.0263;50
010.0777;67
012.0262;762
010.0458;214
009.0409;36
009.2005;28
009.1463;6
009.0133;16
009.0693;3
009.1761;2
009.1750;3
009.0054;39
009.0167;6
009.1303;2
022.0640;1
009.0472;1
009.1544;5
012.0169;2
009.0131;1
009.0132;1
009.1501;4
009.2073;4
021.5706;2
021.0010;19.2
018.0285;1
008.0553;19
006.1843;1
006.1844;2
006.1845;1
021.6944;1
009.1758;10
009.1089;10
009.1972;9
020.0335;1
020.0332;2
010.0009;420
011.0501;7
011.0175;2
018.0272;1
018.0301;1
009.2249;1
009.1410;2
024.0041;18
024.0007;21
024.0100;52
007.0076;6
009.0336;89
009.0006;5
009.1316;57
018.0001;35
020.0694;2
009.1006;3
009.2119;7
008.0238;6
009.1294;5
005.0034;4
005.0452;2
005.0400;1
005.0986;1
005.0818;1
005.0677;1
018.0109;72
018.0014;12
018.0024;65
010.0255;33
009.1417;5
009.2248;2
021.5701;7
021.5702;28
021.5704;5
010.0476;881
010.0422;2887
005.0811;45
005.0063;35
005.1742;18
006.0034;25
005.1015;57
005.1242;3
005.1832;1
005.3142;4
005.0569;1
005.3143;2
005.0562;42
005.0144;13
005.0710;2
005.0948;2
005.0660;45
010.0051;872
009.1317;10
009.0195;20
009.0163;5
009.1085;5
009.2178;5
009.0095;5
009.0629;1
003.0051;1
003.0052;4
032.0004;6
032.0003;9
032.0016;1
005.1916;1
009.0800;1
005.1749;35
010.0357;1
020.0596;2
010.0778;2
010.0552;3
012.0512;3
031.0013;10
003.0279;144
009.0098;0
009.0106;2
009.0175;37
009.0072;16
009.0184;3
009.1107;3
009.0031;26
009.0092;15
009.1168;8
005.0965;15
009.1396;1
009.0367;0
009.1505;2
009.1307;4
009.0018;14
000.0164;1
009.0617;9
009.1314;1
005.0632;30
006.0160;36
005.3145;20
005.0520;31
008.0234;110
005.0235;15
009.0581;45
005.1067;7
005.3063;55
012.0058;6
005.1917;6
005.1918;7
005.1207;43
005.3144;262
005.2657;4
005.3086;1
005.0753;1
005.1331;3
005.2520;3
005.2689;2
005.1049;1
005.3127;1
007.0007;81
021.6492;1
012.0639;56
020.1364;301
006.1694;18
009.1537;0
005.0133;5698
005.0013;8
005.0096;17
005.0129;54
005.0007;40
005.0160;36
005.1705;31
005.0060;2
005.0109;1
020.1295;140
020.0151;2
005.0404;10
005.2518;70
005.2510;12
005.0755;94
005.0384;45
015.1079;1
020.0704;1
020.1228;163
005.3021;3
015.0017;3
021.6047;25
010.0029;508
010.0023;87
010.0217;9
010.0024;125
010.0017;52
010.0018;115
010.0343;358
010.0116;130
010.0053;862
005.1953;11
005.0231;60
006.0029;27
010.0435;10
010.0250;2810
010.0049;962
010.0138;1564
010.0564;20
010.0052;203
010.0443;61
010.0156;56
010.0043;971
010.0227;180
010.0008;711
010.0880;176
010.0901;148
010.0502;6
010.0026;2500
010.0022;2676
006.0030;7538
009.0124;56
009.1002;4
009.0096;2
009.0075;5
009.0548;8
009.1531;7
009.0178;2
009.1712;6
009.0333;6
009.0202;4
009.0019;87
009.1007;15
009.1138;32
009.0993;3
020.0749;1
009.0546;8
020.0358;10
009.0151;34
009.0094;1
009.0547;5
009.0990;1
009.0335;1
009.1364;1
009.0995;1
009.2251;1
009.0027;7
009.0023;12
009.1369;17
009.1309;12
009.1504;5
009.0074;1
009.1299;7
009.0044;13
009.0608;61
009.0677;2
006.0660;1
019.0008;3
019.0023;72
019.0061;180
009.1448;4
020.0015;2
020.1136;1
020.0608;1
020.0788;1
005.2506;3
005.2574;1
009.0618;4
009.1000;4
012.0337;3000
010.0709;396
009.0071;4
009.0162;1
009.1310;21
009.0739;2
006.0021;1
024.0085;2
024.0086;3
012.0364;8
020.0009;7
005.1170;8
009.0421;1
009.0110;1
009.0111;1
009.1969;100
009.0134;5
009.1326;11
008.0130;20
020.0089;5
012.0771;2
017.0052;5
017.0051;5
005.0056;276
005.0127;155
005.0387;2
005.0393;15
005.0419;1
005.0474;4
005.1042;6
005.1059;2
005.1078;18
005.1142;35
005.1483;7
005.1780;1
005.1954;12
005.1958;2
005.2128;5
009.0533;6
009.1071;2
009.1297;13
009.1764;1
010.0542;35
020.0380;5
021.0232;93
024.0094;15
002.0302;1
002.1763;4
002.0003;1
002.1847;3
002.0014;12
002.0002;5
002.0015;4
002.0170;7
002.0028;2
002.0092;1
002.0073;4
002.0128;6
002.0070;18
002.1853;4
002.1803;1
002.1780;3
002.0017;4
002.0203;26
002.0039;6
005.0317;7
002.1811;2
002.0065;2
002.0242;1
002.0389;3
002.0007;1
002.1827;6
002.0020;10
002.0351;40
018.0249;200
002.0142;20
012.0562;50
012.0651;15
012.0798;10
012.0805;6
012.0649;10
012.0650;5
020.1125;10
012.0046;5
005.1211;96
006.0078;1
002.1789;29
002.0182;570
016.0313;5
002.0208;7
002.0253;4
016.0316;2
002.0373;9
002.0372;9
002.0371;5
002.0380;1
016.0303;8
002.1863;1
002.1864;1
002.1856;2
002.1865;2
016.0315;1
002.1796;1
016.0317;1
016.0318;2
002.0102;252
016.0457;1
002.0247;4
016.0276;3
016.0287;3
016.0275;2
016.0280;1
016.0278;1
016.0320;1
016.0279;1
002.0245;1
002.0246;3
002.0248;4
002.1794;1
002.0206;1
016.0274;2
